product_id,product_name,category,price
PROD00001,Reduce Books Century,Books,179800.0
PROD00002,Win Sports Nor,Sports,1365600.0
PROD00003,Property Beauty Share,Beauty,623300.0
PROD00004,Million Sports Believe,Sports,1254300.0
PROD00005,Stuff Beauty Role,Beauty,613400.0
PROD00006,Go Sports Try,Sports,1710300.0
PROD00007,Door Beauty Work,Beauty,456400.0
PROD00008,Parent Groceries Space,Groceries,86100.0
PROD00009,Window Books Plant,Books,183500.0
PROD00010,Attention Sports Quickly,Sports,675900.0
PROD00011,Gun Toys Huge,Toys,810900.0
PROD00012,Whether Toys Series,Toys,744700.0
PROD00013,Situation Home Simply,Home & Kitchen,1045000.0
PROD00014,Share Sports I,Sports,2104400.0
PROD00015,Ready Apparel Quality,Apparel,327100.0
PROD00016,Still Groceries Or,Groceries,167400.0
PROD00017,Total Groceries Leave,Groceries,61400.0
PROD00018,System Sports Early,Sports,2056700.0
PROD00019,Dog Sports Event,Sports,353800.0
PROD00020,Business Beauty Fill,Beauty,176500.0
PROD00021,Begin Beauty Brother,Beauty,423700.0
PROD00022,Behind Electronics Grow,Electronics,1337300.0
PROD00023,Sit Books Person,Books,225100.0
PROD00024,Write Apparel Cup,Apparel,595000.0
PROD00025,Size Home Year,Home & Kitchen,57900.0
PROD00026,Business Home Page,Home & Kitchen,1447900.0
PROD00027,Hold Groceries Care,Groceries,124600.0
PROD00028,Tonight Beauty Form,Beauty,497400.0
PROD00029,Husband Sports Part,Sports,747300.0
PROD00030,Since Electronics Ability,Electronics,10909100.0
PROD00031,Foreign Apparel Assume,Apparel,571800.0
PROD00032,Performance Beauty North,Beauty,359500.0
PROD00033,Customer Electronics Throw,Electronics,10971800.0
PROD00034,Important Home Land,Home & Kitchen,1485900.0
PROD00035,Front Home Spend,Home & Kitchen,3271400.0
PROD00036,His Electronics Subject,Electronics,11966500.0
PROD00037,Respond Toys World,Toys,718700.0
PROD00038,Style Home Card,Home & Kitchen,3280700.0
PROD00039,Nature Sports Record,Sports,1936200.0
PROD00040,Play Electronics Performance,Electronics,3685900.0
PROD00041,Doctor Apparel Both,Apparel,792800.0
PROD00042,Indicate Books Act,Books,110400.0
PROD00043,Nothing Groceries Together,Groceries,223400.0
PROD00044,Magazine Home Four,Home & Kitchen,2984700.0
PROD00045,Check Groceries Team,Groceries,75500.0
PROD00046,Yes Apparel Fine,Apparel,314500.0
PROD00047,Third Groceries Discuss,Groceries,165600.0
PROD00048,Money Home Response,Home & Kitchen,88700.0
PROD00049,Lose Books Choice,Books,244600.0
PROD00050,Plant Beauty Federal,Beauty,134700.0
PROD00051,Child Toys Skin,Toys,752100.0
PROD00052,Reduce Books Time,Books,58000.0
PROD00053,Suddenly Apparel Their,Apparel,197800.0
PROD00054,Scientist Home Already,Home & Kitchen,1692000.0
PROD00055,Place Beauty Front,Beauty,29300.0
PROD00056,For Toys Morning,Toys,246400.0
PROD00057,Risk Sports Candidate,Sports,2101600.0
PROD00058,Eye Sports Thus,Sports,1306500.0
PROD00059,Seat Electronics Painting,Electronics,3249400.0
PROD00060,Mean Books Program,Books,218600.0
PROD00061,Them Electronics Dinner,Electronics,8063300.0
PROD00062,Miss Groceries Film,Groceries,83600.0
PROD00063,Sea Toys However,Toys,631600.0
PROD00064,Artist Sports Take,Sports,1537200.0
PROD00065,Goal Sports Claim,Sports,846500.0
PROD00066,Their Beauty Sense,Beauty,162000.0
PROD00067,Develop Home Thus,Home & Kitchen,1694500.0
PROD00068,Significant Groceries World,Groceries,189500.0
PROD00069,Take Books Down,Books,145200.0
PROD00070,School Groceries Simply,Groceries,191800.0
PROD00071,Area Beauty Wind,Beauty,501200.0
PROD00072,Tree Apparel Stand,Apparel,470400.0
PROD00073,Country Books Tough,Books,55700.0
PROD00074,Method Apparel Short,Apparel,99400.0
PROD00075,Including Beauty Firm,Beauty,382900.0
PROD00076,Teacher Home Receive,Home & Kitchen,609300.0
PROD00077,While Groceries Thus,Groceries,37900.0
PROD00078,Collection Beauty Age,Beauty,473100.0
PROD00079,Official Groceries Including,Groceries,31800.0
PROD00080,Green Groceries Knowledge,Groceries,204100.0
PROD00081,Resource Groceries Material,Groceries,41700.0
PROD00082,Happen Toys Sometimes,Toys,435600.0
PROD00083,Include Electronics Include,Electronics,6771700.0
PROD00084,Away Sports News,Sports,1607800.0
PROD00085,Short Toys Fear,Toys,262600.0
PROD00086,Fear Electronics Same,Electronics,8987800.0
PROD00087,Wind Apparel Day,Apparel,86200.0
PROD00088,School Books Total,Books,220600.0
PROD00089,Official Electronics Indeed,Electronics,11224800.0
PROD00090,Bill Apparel Catch,Apparel,838900.0
PROD00091,Game Groceries Soldier,Groceries,17600.0
PROD00092,Strong Toys Partner,Toys,198900.0
PROD00093,Tree Home Support,Home & Kitchen,2689800.0
PROD00094,Arm Toys To,Toys,365200.0
PROD00095,Worry Toys Security,Toys,428500.0
PROD00096,Fly Toys Lot,Toys,366200.0
PROD00097,Real Home Common,Home & Kitchen,2301200.0
PROD00098,Participant Books Certain,Books,66400.0
PROD00099,Letter Toys Safe,Toys,497200.0
PROD00100,Meeting Beauty Film,Beauty,546800.0
PROD00101,Watch Electronics Check,Electronics,11745100.0
PROD00102,Determine Groceries Discover,Groceries,171600.0
PROD00103,Summer Toys Smile,Toys,499800.0
PROD00104,Deal Beauty Simple,Beauty,179700.0
PROD00105,Rather Books Act,Books,76100.0
PROD00106,High Beauty She,Beauty,610900.0
PROD00107,Total Apparel Parent,Apparel,75800.0
PROD00108,Blue Toys Resource,Toys,570800.0
PROD00109,Stock Electronics Town,Electronics,3001900.0
PROD00110,Choose Apparel However,Apparel,130700.0
PROD00111,Late Electronics Respond,Electronics,5440300.0
PROD00112,Thought Electronics Concern,Electronics,3050100.0
PROD00113,With Electronics Arrive,Electronics,4916800.0
PROD00114,Big Beauty Heart,Beauty,362300.0
PROD00115,Matter Electronics Country,Electronics,1810600.0
PROD00116,You Sports Area,Sports,561100.0
PROD00117,Buy Books Myself,Books,188000.0
PROD00118,Rate Books Ground,Books,97800.0
PROD00119,Personal Home Leader,Home & Kitchen,3450500.0
PROD00120,Church Beauty Product,Beauty,283500.0
PROD00121,Seven Sports International,Sports,190400.0
PROD00122,Election Home Along,Home & Kitchen,2205900.0
PROD00123,By Toys Effect,Toys,520300.0
PROD00124,Industry Electronics Middle,Electronics,11671600.0
PROD00125,Five Toys Rise,Toys,716900.0
PROD00126,Pick Books Consider,Books,219500.0
PROD00127,Read Toys Skill,Toys,172600.0
PROD00128,How Toys Stand,Toys,202200.0
PROD00129,Role Groceries Stuff,Groceries,67800.0
PROD00130,Religious Beauty Reason,Beauty,213000.0
PROD00131,Behind Home Star,Home & Kitchen,2828000.0
PROD00132,Major Electronics Treatment,Electronics,6814300.0
PROD00133,Television Toys Rate,Toys,521500.0
PROD00134,Idea Home Face,Home & Kitchen,1383900.0
PROD00135,Project Sports Read,Sports,495100.0
PROD00136,Light Apparel Hold,Apparel,787800.0
PROD00137,Activity Books Call,Books,59500.0
PROD00138,But Beauty Beautiful,Beauty,57200.0
PROD00139,Campaign Toys Middle,Toys,621000.0
PROD00140,Put Electronics Relate,Electronics,10502400.0
PROD00141,When Beauty Mr,Beauty,527900.0
PROD00142,Down Beauty Agency,Beauty,324600.0
PROD00143,Peace Books Page,Books,115300.0
PROD00144,Page Electronics Media,Electronics,2659900.0
PROD00145,Eye Beauty Rule,Beauty,626300.0
PROD00146,Skill Apparel Between,Apparel,647500.0
PROD00147,Study Groceries Personal,Groceries,229500.0
PROD00148,Course Beauty If,Beauty,272900.0
PROD00149,Member Beauty Quite,Beauty,370000.0
PROD00150,Scientist Sports Leader,Sports,874600.0
PROD00151,Fire Books Owner,Books,116700.0
PROD00152,Car Books Bit,Books,170900.0
PROD00153,Gas Groceries Attack,Groceries,121800.0
PROD00154,Sell Groceries When,Groceries,192800.0
PROD00155,Training Books Stuff,Books,277300.0
PROD00156,Note Books Crime,Books,117900.0
PROD00157,Into Electronics Tax,Electronics,6815900.0
PROD00158,School Beauty Again,Beauty,488300.0
PROD00159,Indeed Electronics Only,Electronics,3240200.0
PROD00160,Television Toys Not,Toys,297400.0
PROD00161,Step Beauty Task,Beauty,231200.0
PROD00162,Next Toys Middle,Toys,532200.0
PROD00163,Attack Beauty Natural,Beauty,337100.0
PROD00164,Third Books Pattern,Books,103200.0
PROD00165,Nothing Groceries Sell,Groceries,242000.0
PROD00166,Tell Groceries Street,Groceries,120600.0
PROD00167,Reach Books Capital,Books,79900.0
PROD00168,Some Groceries Some,Groceries,54200.0
PROD00169,Despite Electronics Reason,Electronics,6358700.0
PROD00170,Water Apparel Buy,Apparel,806200.0
PROD00171,Course Electronics Training,Electronics,9207400.0
PROD00172,Place Toys Run,Toys,162600.0
PROD00173,Couple Beauty Accept,Beauty,67500.0
PROD00174,One Home Likely,Home & Kitchen,71600.0
PROD00175,Such Groceries Former,Groceries,99600.0
PROD00176,Can Groceries Among,Groceries,168200.0
PROD00177,Career Electronics Paper,Electronics,228400.0
PROD00178,Design Toys Read,Toys,55100.0
PROD00179,Color Sports Begin,Sports,1206500.0
PROD00180,Or Sports Establish,Sports,96700.0
